ClassNameAndObjectPath,ShaderType,ShaderClass,MaterialDomain,FeatureLevel,QualityLevel,TargetFrequency,TargetPlatform,VFType,Permutation,OutputHash
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,FEvaluateSurfelMaterialCS,Material,MD_Surface,SM5,High,SF_Compute,PCD3D_SM5,null,Perm_0,4FAFD25A0906F6B573942C6C539CB4924ADD5328
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TBasePassPSFPrecomputedVolumetricLightmapLightingPolicySkylight,MeshMaterial,MD_Surface,SM5,High,SF_Pixel,PCD3D_SM5,FLocalVertexFactory,Perm_0,898E75970DAA1851EEC25267E5D86F08E5DF0739
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthVSForGSVertexShadowDepth_PerspectiveCorrectfalse,MeshMaterial,MD_Surface,SM5,High,SF_Vertex,PCD3D_SM5,FLocalVertexFactory,Perm_0,D3F783AC9C2940F8F0BEC8E87CA73B5CBEABF949
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthVSForGSVertexShadowDepth_PerspectiveCorrecttrue,MeshMaterial,MD_Surface,SM5,High,SF_Vertex,PCD3D_SM5,FLocalVertexFactory,Perm_0,D3F783AC9C2940F8F0BEC8E87CA73B5CBEABF949
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthVSForGSVertexShadowDepth_OnePassPointLightfalse,MeshMaterial,MD_Surface,SM5,High,SF_Vertex,PCD3D_SM5,FLocalVertexFactory,Perm_0,C4811153D6EC818314063BC24B4C7D8A8AA1ADB0
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthPSPixelShadowDepth_NonPerspectiveCorrectfalse,MeshMaterial,MD_Surface,SM5,High,SF_Pixel,PCD3D_SM5,FLocalVertexFactory,Perm_0,AF2D120262CFE2F21554CFCA8E637A35D6E12863
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthPSPixelShadowDepth_NonPerspectiveCorrecttrue,MeshMaterial,MD_Surface,SM5,High,SF_Pixel,PCD3D_SM5,FLocalVertexFactory,Perm_0,1D2F4EB1FE6A144AF48D041C4265F373512DC2D2
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthVSVertexShadowDepth_PerspectiveCorrectfalse,MeshMaterial,MD_Surface,SM5,High,SF_Vertex,PCD3D_SM5,FLocalVertexFactory,Perm_0,D3F783AC9C2940F8F0BEC8E87CA73B5CBEABF949
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TBasePassVSFPrecomputedVolumetricLightmapLightingPolicy,MeshMaterial,MD_Surface,SM5,High,SF_Vertex,PCD3D_SM5,FLocalVertexFactory,Perm_0,DA6DC896FAD8A816C248E66B4127184880658A7E
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TBasePassPSFPrecomputedVolumetricLightmapLightingPolicy,MeshMaterial,MD_Surface,SM5,High,SF_Pixel,PCD3D_SM5,FLocalVertexFactory,Perm_0,52CE64F9E5D9B133052275AD3050BC3A841EE9BA
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthVSVertexShadowDepth_PerspectiveCorrecttrue,MeshMaterial,MD_Surface,SM5,High,SF_Vertex,PCD3D_SM5,FLocalVertexFactory,Perm_0,D3F783AC9C2940F8F0BEC8E87CA73B5CBEABF949
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthVSVertexShadowDepth_OnePassPointLightfalse,MeshMaterial,MD_Surface,SM5,High,SF_Vertex,PCD3D_SM5,FLocalVertexFactory,Perm_0,C4811153D6EC818314063BC24B4C7D8A8AA1ADB0
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthPSPixelShadowDepth_PerspectiveCorrectfalse,MeshMaterial,MD_Surface,SM5,High,SF_Pixel,PCD3D_SM5,FLocalVertexFactory,Perm_0,0E517D72AAA1C938BC56A4075C5EEE3D537BA328
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TBasePassPSFCachedVolumeIndirectLightingPolicySkylight,MeshMaterial,MD_Surface,SM5,High,SF_Pixel,PCD3D_SM5,FLocalVertexFactory,Perm_0,F9EB30B757A93413ED5054E3099D6D3DF6B7D0A3
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthVSForGSVertexShadowDepth_OutputDepthfalse,MeshMaterial,MD_Surface,SM5,High,SF_Vertex,PCD3D_SM5,FLocalVertexFactory,Perm_0,07526C5A7C1E7AF07B8AAC96F944D1C2AE5C445D
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthPSPixelShadowDepth_PerspectiveCorrecttrue,MeshMaterial,MD_Surface,SM5,High,SF_Pixel,PCD3D_SM5,FLocalVertexFactory,Perm_0,4A4DACC3E6A9D5952241B7F616F0275B29EF6DC8
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthPSPixelShadowDepth_OnePassPointLightfalse,MeshMaterial,MD_Surface,SM5,High,SF_Pixel,PCD3D_SM5,FLocalVertexFactory,Perm_0,AA6AF43B42F8563EFC301E49553D4E84ED51678F
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TBasePassPSFCachedPointIndirectLightingPolicySkylight,MeshMaterial,MD_Surface,SM5,High,SF_Pixel,PCD3D_SM5,FLocalVertexFactory,Perm_0,F96B344360F2F8BDD002C505936B5DEE7A803C2A
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthVSForGSVertexShadowDepth_OutputDepthtrue,MeshMaterial,MD_Surface,SM5,High,SF_Vertex,PCD3D_SM5,FLocalVertexFactory,Perm_0,07526C5A7C1E7AF07B8AAC96F944D1C2AE5C445D
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthPSPixelShadowDepth_OnePassPointLighttrue,MeshMaterial,MD_Surface,SM5,High,SF_Pixel,PCD3D_SM5,FLocalVertexFactory,Perm_0,ED33CBE8847A8EE12BFE1493148DA04A50281587
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthVSVertexShadowDepth_OutputDepthfalse,MeshMaterial,MD_Surface,SM5,High,SF_Vertex,PCD3D_SM5,FLocalVertexFactory,Perm_0,07526C5A7C1E7AF07B8AAC96F944D1C2AE5C445D
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TShadowDepthVSVertexShadowDepth_OutputDepthtrue,MeshMaterial,MD_Surface,SM5,High,SF_Vertex,PCD3D_SM5,FLocalVertexFactory,Perm_0,07526C5A7C1E7AF07B8AAC96F944D1C2AE5C445D
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TBasePassVSFCachedVolumeIndirectLightingPolicy,MeshMaterial,MD_Surface,SM5,High,SF_Vertex,PCD3D_SM5,FLocalVertexFactory,Perm_0,DA6DC896FAD8A816C248E66B4127184880658A7E
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TBasePassPSFCachedVolumeIndirectLightingPolicy,MeshMaterial,MD_Surface,SM5,High,SF_Pixel,PCD3D_SM5,FLocalVertexFactory,Perm_0,1D2E1E9877F540DF8CB82C78310811057106744A
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TBasePassVSFCachedPointIndirectLightingPolicy,MeshMaterial,MD_Surface,SM5,High,SF_Vertex,PCD3D_SM5,FLocalVertexFactory,Perm_0,DA6DC896FAD8A816C248E66B4127184880658A7E
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TBasePassPSFCachedPointIndirectLightingPolicy,MeshMaterial,MD_Surface,SM5,High,SF_Pixel,PCD3D_SM5,FLocalVertexFactory,Perm_0,064601E1AEE19B12CC2CC64EE39FD4E94ABDD9ED
Material /Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque,TLightMapDensityVSFDummyLightMapPolicy,MeshMaterial,MD_Surface,SM5,High,SF_Vertex,PCD3D_SM5,FLocalVertexFactory,Perm_0,B02518B6291ED73139AF258ECE8C3008295C92C9
